row_index,question,final_json,audit_json
80,"Have ICIs been tested as second-line treatments in gastric cancer? If so, list those trials.	""","{""selected_filter"": {""Cancer Type"": ""Gastric/GEJ"", ""Clinical Setting"": ""Second-line+""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Class of ICI"", ""Column 8"": ""Treatment regimen"", ""Column 9"": ""Control regimen"", ""Column 10"": ""Lines of treatment""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
81,"Which immunotherapy trials in hepatocellular carcinoma were first-line versus second-line?	""","{""selected_filter"": {""Cancer Type"": ""Hepatocellular carcinoma (HCC)""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Class of ICI"", ""Column 8"": ""Monotherapy/combination"", ""Column 9"": ""Control regimen"", ""Column 10"": ""Lines of treatment""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
82,"List immunotherapy trials in RCC, indicating whether they were in the first-line or later-line setting.	""","{""selected_filter"": {""Cancer Type"": ""Renal Cell Carcinoma (RCC)"", ""Clinical Setting"": ""Metastatic / Recurrent (Unresectable)""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Name of ICI"", ""Column 6"": ""Lines of treatment""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
83,"Are there any “perioperative” immunotherapy trials (treatment both before and after surgery)?	""","{""selected_filter"": {""Clinical Setting"": ""Perioperative""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Clinical setting in relation to surgery""}}","{""dropped_non_canonical_filter_keys"": [""Intervention Type""], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
84,"Which NSCLC trials evaluated an ICI as second-line therapy (after prior treatment failure)?	""","{""selected_filter"": {""Cancer Type"": ""Non-Small Cell Lung Cancer (NSCLC)"", ""Clinical Setting"": ""Metastatic / Recurrent (Unresectable)""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Class of ICI"", ""Column 8"": ""Monotherapy/combination"", ""Column 9"": ""Lines of treatment"", ""Column 10"": ""Primary endpoint""}}","{""dropped_non_canonical_filter_keys"": [""Drug Class"", ""Line of Therapy""], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
85,"Are any trials involving novel checkpoints like LAG-3 or TIGIT inhibitors included in the data?	""","{""selected_filter"": {}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Class of ICI""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
86,"Have ICIs been combined with MEK inhibitors in any trials? If so, which ones?	""","{""selected_filter"": {""Type of combination (Treatment Arm)"": ""ICI + MEKi""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Class of ICI"", ""Column 8"": ""Cancer type"", ""Column 9"": ""Treatment regimen""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
87,"Which NSCLC trials used PD-1 inhibitors and which used PD-L1 inhibitors (to compare their designs)?	""","{""selected_filter"": {""Cancer Type"": ""Non-Small Cell Lung Cancer (NSCLC)""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Class of ICI"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Trial phase"", ""Column 8"": ""Monotherapy/combination"", ""Column 9"": ""Lines of treatment"", ""Column 10"": ""Is PD-L1 positivity inclusion criteria""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": true, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
88,"Which melanoma trials used combination therapy versus monotherapy?	""","{""selected_filter"": {""Cancer Type"": ""Melanoma""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Monotherapy/combination"", ""Column 6"": ""Type of combination"", ""Column 7"": ""Name of ICI"", ""Column 8"": ""Class of ICI"", ""Column 9"": ""Treatment regimen"", ""Column 10"": ""Control regimen""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
89,"Have combination immunotherapy regimens been studied in head and neck cancer, or are they mostly monotherapy?	""","{""selected_filter"": {""Cancer Type"": ""Head and Neck (HNSCC)""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Name of ICI"", ""Column 6"": ""Class of ICI"", ""Column 7"": ""Monotherapy/combination"", ""Column 8"": ""Type of combination"", ""Column 9"": ""Treatment regimen""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
90,"Which NSCLC trials did not require PD-L1 positivity for patient enrollment (all-comer trials)?	""","{""selected_filter"": {""Cancer Type"": ""Non-Small Cell Lung Cancer (NSCLC)""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Class of ICI"", ""Column 8"": ""Monotherapy/combination"", ""Column 9"": ""Type of combination"", ""Column 10"": ""Primary endpoint""}}","{""dropped_non_canonical_filter_keys"": [""PD-L1 Enrollment Requirement""], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
91,"Which cancer types have had Phase III immunotherapy trials conducted?	""","{""selected_filter"": {""Trial Phase"": ""Phase 3""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Cancer type"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Class of ICI""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
92,"Which trials combined ICIs with targeted therapies (TKIs or anti-angiogenics) in renal cell carcinoma?	""","{""selected_filter"": {""Cancer Type"": ""Renal Cell Carcinoma (RCC)"", ""Type of Therapy"": ""Combination""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Class of ICI"", ""Column 8"": ""Type of combination""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
93,"Have ICIs been combined with chemotherapy in SCLC trials? List any such studies.	""","{""selected_filter"": {""Cancer Type"": ""Small Cell Lung Cancer (SCLC)"", ""Type of Therapy"": ""Combination"", ""Type of combination (Treatment Arm)"": ""ICI + Chemo""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Class of ICI"", ""Column 8"": ""Treatment regimen""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
94,"List any NSCLC trials that used a regimen of dual ICIs plus chemotherapy.	""","{""selected_filter"": {""Cancer Type"": ""Non-Small Cell Lung Cancer (NSCLC)"", ""Type of combination (Treatment Arm)"": ""ICI + ICI + Chemo""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Treatment regimen"", ""Column 7"": ""Name of ICI"", ""Column 8"": ""Class of ICI""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
95,"What are the earliest immunotherapy trial publications in this dataset (circa 2010–2012) and which cancers did they involve?	""","{""selected_filter"": {}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Cancer type"", ""Column 7"": ""Name of ICI"", ""Column 8"": ""Class of ICI"", ""Column 9"": ""Trial phase""}}","{""dropped_non_canonical_filter_keys"": [""Year""], ""dropped_filter_values"": [{""ICI Class"": ""Immune Checkpoint Inhibitor""}], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
96,"Have dual checkpoint blockade (nivolumab + ipilimumab) trials been done in NSCLC?	""","{""selected_filter"": {""Cancer Type"": ""Non-Small Cell Lung Cancer (NSCLC)"", ""Type of Therapy"": ""Combination"", ""Type of combination (Treatment Arm)"": ""ICI + ICI""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Class of ICI""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
97,"List any trials evaluating ICIs in third-line or later treatment settings (≥3L).	""","{""selected_filter"": {}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Cancer type"", ""Column 7"": ""Name of ICI"", ""Column 8"": ""Monotherapy/combination"", ""Column 9"": ""Lines of treatment""}}","{""dropped_non_canonical_filter_keys"": [""Intervention Class"", ""Lines of Treatment""], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
98,"Which trial reported the longest follow-up duration, and what was that duration?	""","{""selected_filter"": {}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Follow-up duration for primary endpoint(s) in months""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
99,"What are the publication details (authors, year) for the trial of pembrolizumab in adjuvant melanoma?	""","{""selected_filter"": {""ICI Name"": ""Pembrolizumab"", ""Cancer Type"": ""Melanoma"", ""Clinical Setting"": ""Adjuvant""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
